as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-17,XAUUSD,2M,BF10,2.565,XAUUSD10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2M,BF25,0.695,XAUUSD25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2M,RR10,2.21,XAUUSD10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2M,RR25,1.18,XAUUSD25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2W,ATM,22.21,XAUUSDV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2W,BF10,1.7025,XAUUSD10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2W,BF25,0.48,XAUUSD25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2W,RR10,1.475,XAUUSD10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,2W,RR25,0.8075,XAUUSD25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,3M,ATM,23.0925,XAUUSDV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,3M,BF10,2.7425,XAUUSD10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,3M,BF25,0.75,XAUUSD25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,3M,RR10,2.4325,XAUUSD10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,3M,RR25,1.29,XAUUSD25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,6M,ATM,22.83,XAUUSDV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,6M,BF10,2.935,XAUUSD10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,6M,BF25,0.825,XAUUSD25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,6M,RR10,2.605,XAUUSD10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,6M,RR25,1.345,XAUUSD25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,9M,ATM,22.8875,XAUUSDV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,9M,BF10,3.1175,XAUUSD10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,9M,BF25,0.905,XAUUSD25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,9M,RR10,2.6825,XAUUSD10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,9M,RR25,1.3725,XAUUSD25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,ON,ATM,19.2525,XAUUSDVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,ON,BF10,1.1675,XAUUSD10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,ON,BF25,0.3275,XAUUSD25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,ON,RR10,0.9975,XAUUSD10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,ON,RR25,0.54,XAUUSD25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-18,EURSEK,1M,ATM,5.265,EURSEKV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1M,BF10,0.365,EURSEK10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1M,BF25,0.1125,EURSEK25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1M,RR10,0.645,EURSEK10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1M,RR25,0.3475,EURSEK25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1W,ATM,5.4025,EURSEKV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1W,BF10,0.3175,EURSEK10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1W,BF25,0.0975,EURSEK25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1W,RR10,0.4325,EURSEK10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1W,RR25,0.225,EURSEK25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1Y,ATM,5.785,EURSEKV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1Y,BF10,0.795,EURSEK10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1Y,BF25,0.245,EURSEK25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1Y,RR10,1.28,EURSEK10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,1Y,RR25,0.66,EURSEK25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2M,ATM,5.4,EURSEKV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
2026-09-18,EURSEK,2M,BF10,0.41,EURSEK10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-18T17:00:00-04:00
