as_of_date,instrument_id,settle_date,mark_type,value,source,snapped_at
2026-09-07,USDCHF,2026-09-16,FWD_OUTRIGHT,0.808896,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDHKD,2026-09-07,SPOT,7.8399,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDHKD,2026-09-08,FWD_OUTRIGHT,7.8399,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDIDR,2026-09-07,SPOT,17640.0,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDJPY,2026-09-07,SPOT,154.36,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDJPY,2026-09-08,FWD_OUTRIGHT,154.36,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDJPY,2026-09-16,FWD_OUTRIGHT,154.2776,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDJPY,2027-03-01,FWD_OUTRIGHT,152.30122444444444,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDJPY,2027-03-03,FWD_OUTRIGHT,152.27729333333335,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDKRW,2026-09-07,SPOT,1346.95,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDKRW,2026-09-16,FWD_OUTRIGHT,1346.8500000000001,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDKRW,2026-09-21,FWD_OUTRIGHT,1346.7804347826088,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDKRW,2026-09-28,FWD_OUTRIGHT,1346.683043478261,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDMXN,2026-09-07,SPOT,16.9152,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDMXN,2026-09-08,FWD_OUTRIGHT,16.9152,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDMXN,2026-09-17,FWD_OUTRIGHT,16.92718857142857,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDNOK,2026-09-07,SPOT,9.2667,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDNOK,2026-09-08,FWD_OUTRIGHT,9.2667,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDNOK,2026-09-16,FWD_OUTRIGHT,9.267697,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDNOK,2026-09-21,FWD_OUTRIGHT,9.268257714285715,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDSEK,2026-09-07,SPOT,9.5939,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDSEK,2026-09-16,FWD_OUTRIGHT,9.590254,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDSGD,2026-09-07,SPOT,1.2659,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDSGD,2026-09-16,FWD_OUTRIGHT,1.265322,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDTRY,2026-09-07,SPOT,48.431,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDTRY,2026-09-16,FWD_OUTRIGHT,48.735101285714286,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDTWD,2026-09-07,SPOT,31.549,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDZAR,2026-09-07,SPOT,15.9967,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-07,USDZAR,2026-09-08,FWD_OUTRIGHT,15.9967,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,USDZAR,2026-09-16,FWD_OUTRIGHT,16.0042,BBG_INTERP,2026-09-07T17:00:00-04:00
2026-09-07,XAUUSD,2026-09-07,SPOT,4404.3,BBG_BFXFORWARD,2026-09-07T17:00:00-04:00
2026-09-08,AUDUSD,2026-09-08,SPOT,0.7217,BBG_BFXFORWARD,2026-09-08T17:00:00-04:00
2026-09-08,AUDUSD,2026-09-16,FWD_OUTRIGHT,0.72164,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,AUDUSD,2026-09-24,FWD_OUTRIGHT,0.721574,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,AUDUSD,2026-09-28,FWD_OUTRIGHT,0.7215295555555555,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,ESU6 Index,2026-09-18,FUTURE_PX,7680.5,BBG_BDH,2026-09-08T17:00:00-04:00
2026-09-08,EURSEK,2026-09-08,SPOT,11.1427,BBG_BFXFORWARD,2026-09-08T17:00:00-04:00
2026-09-08,EURSEK,2026-09-25,FWD_OUTRIGHT,11.139481222222221,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,EURSEK,2026-11-25,FWD_OUTRIGHT,11.126545499999999,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,EURSEK,2026-11-27,FWD_OUTRIGHT,11.126155566666666,BBG_INTERP,2026-09-08T17:00:00-04:00
2026-09-08,EURUSD,2026-09-08,SPOT,1.1624,BBG_BFXFORWARD,2026-09-08T17:00:00-04:00
2026-09-08,EURUSD,2026-09-16,FWD_OUTRIGHT,1.1626665714285715,BBG_INTERP,2026-09-08T17:00:00-04:00
